일자,카테고리,순위,브랜드,상품명,가격
2026-01-07,전체_월간,1,メディキューブ,ブースタープロ,28889
2026-01-07,전체_월간,2,Brighte,エレキリフトリフ ト,22000
2026-01-07,전체_월간,3,ブラン,"マジックティーツリーオイル, 20ml",2790
2026-01-07,전체_월간,4,アヌア,"PDRNヒアルロン酸カプセル100セラム, 30ml",3200
2026-01-07,전체_월간,5,アヌア,"レチノール0.3ナイアシンリニューイングセラム, 30ml",3200
2026-01-07,전체_월간,6,エイプリルスキン,"ヒーロークッション, 本品+レフィル",3600
2026-01-07,전체_월간,7,アヌア,"ビタミン10PORESTRIXセラム, 20ml",2800
2026-01-07,전체_월간,8,アヌア,"PDRNヒアルロン酸ハイドレイティングミスト, 100ml",2650
2026-01-07,전체_월간,9,DPPR,"SOYキューブゲルマスクパック, 4枚",2650
2026-01-07,전체_월간,10,Laka,スージングプレップリップマスク,1890
2026-01-07,전체_월간,11,スキンアンドラブ,"グルタチオントナー, 200ml",2590
2026-01-07,전체_월간,12,カラーグラム,ギークヌードカラーカバーティント,1190
2026-01-07,전체_월간,13,セルフュージョンC,"コラーゲンPDRNアンプル, 35ml",2310
2026-01-07,전체_월간,14,ナンバーズイン,"5番 白玉グルタチオン100xTXA10集中トーニング美容液, 2個",4000
2026-01-07,전체_월간,15,トゥークールフォースクール,プロタージュペンシル,1499
2026-01-07,전체_월간,16,ULRUB,"ヘアマスク, 200g",3480
2026-01-07,전체_월간,17,ロムアンド,ハンオールブロウカラ,1210
2026-01-07,전체_월간,18,リジュラン,PDRN化粧水＋クリームセット,14000
2026-01-07,전체_월간,19,ミルクタッチ,ジェリーフィットティンティッドグロウティント,1707
2026-01-07,전체_월간,20,AZTK,ジェリーカラーチークリキッド,1165
2026-01-07,전체_월간,21,COSRX,"RXザアルファアルブチン2ニキビ跡ケアセラム, 50ml",2332
2026-01-07,전체_월간,22,ドクターディファレント,"ビタリフトＡフォルテ, 20g",4700
2026-01-07,전체_월간,23,トゥークールフォースクール,アートクラススマッジングアンダーライナー,1499
2026-01-07,전체_월간,24,エイプリルスキン,"リアルカロテンIPMPブレミッシュセラムパックパッド, 80枚",2800
2026-01-07,전체_월간,25,ブラン,"マジックシカクリーム, 60ml",4790
2026-01-07,전체_월간,26,ブラン,"皮脂ゼロエアフィットクッション, 本品",2980
2026-01-07,전체_월간,27,ホリカホリカ,マイフェイブピースシャドウ,600
2026-01-07,전체_월간,28,メディキューブ,"コウジ酸ビタナイアシントナー, 250ml",2300
2026-01-07,전체_월간,29,lily eve,"グロウターンアンプル, 100ml, 2個",5230
2026-01-07,전체_월간,30,AOU,ブレンディングリップペンシル,1119
2026-01-07,전체_월간,31,VTコスメティックス,"PDRNカプセルクリーム100, 50ml",2167
2026-01-07,전체_월간,32,ティルティル,マスクフィットルビーメッシュクッション,2821
2026-01-07,전체_월간,33,NAMING,オーバーデューグロッシーリップティント,1760
